AU,HospitalName,CircuitType,OOBPhone,OrderGroup,CircuitID,CircuitIDLEC,IPCSR,RouterPort,PrimaryIPAddress,SecondaryIPAddress,Notes
507 Closed,VCA Williamsburg Animal Hospital - Closed,MPLS T1 1.5 Closed,402-420-1772 vr 7/8/10 rna ngfo,999,DHEC.433789 ATI,NEHCGS103010WINW,12.85.240.206,Fe0/1,10.53.44.1,172.16.126.193,
508,VCA Family and Oahu Veterinary Specialty Center,Configure/VeloCloud SD-WAN w/4G (Spectrum 200M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.46.1
172.16.127.0/26 - VLAN 1,  10.53.47.0/26 - VLAN 180, 10.53.47.96/28 - VLAN 182, 10.53.47.112/28 - VLAN 183, 10.53.47.128/27 - VLAN 184, 10.53.47.160/27 - VLAN 300, 10.53.46.0/24 - VLAN 400",,"1ST FLR STORAGE ROOM , SLOT# 3 OF 4
RJ48C SERVER ROOM ON BACKBOARD, SHELF 1, POSITION 2"
509,Animal Health Center,Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.48.1,,
511,VCA Animal Care Hospital,"Configure/VeloCloud SD-WAN (Comcast 100M/20M, Secondary CenturyLink DSL 12M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.52.1
Voice VLAN 400 - 10.53.53.0/24",,"NEC UCaaS
No 4G service"
515,VCA Greenhaven Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (AT&T 100M ADI, Secondary Uverse 18M/1.5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.60.1
Voice VLAN 400 - 10.53.61.0/24",,Aruba Network
516,VCA All Our Pets Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 50M/10M, Secondary AT&T DSL 25M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.62.1
Voice VLAN 400 - 10.53.63.0/24",,
517,"VCA Westside Animal Hospital
(Hospital Relocated 7/1/2019)","Configure/VeloCloud SD-WAN w/4G Backup (Wave 110M/20M, Secondary AT&T 2xT1 ADI) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.64.1
Voice VLAN 400 - 10.53.65.0/24
Security VLAN 600 - 10.3.99.128/27",,Aruba Network
518,VCA Highlands Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 150M/20M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.66.1
Voice VLAN 400 10.53.67.0/24",,
519 Closed,VCA Greenback Pet Resort - Closed,MPLS T1 1.5 Closed,916-726-1072 ngfo vr 9/1/10,999,DHEC.840829 ATI,18HCGS552658PT,12.92.129.106,Fa0/0,10.53.68.1,,
520,VCA Greenback Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 50M/10M, Consolidated Communications DSL 16M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Separate DSR managed Comcast 50M/10M for CampBowWow cameras)",,Velocloud,,,,,"10.53.70.1
Voice VLAN 400 - 10.53.71.0/24",,Voice VLAN 400 - 10.53.71.0/24
521,VCA Elk Grove Animal Hospital,Configure/VeloCloud SD-WAN w/4G Backup (Consolidated Comm 50M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.72.1,,SLOT B OF 2-SLOT HOUSING ON BACKBOARD ADJACENT TO ;NO;48C;YES;YES
522,VCA Sacramento Animal Medical Group,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 150M/20M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.74.1
Voice VLAN 400 10.53.75.0/24",,Aruba Network
523,VCA Cottage Animal Hospital,Configure/VeloCloud SD-WAN w/4G Backup (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.76.1
Voice VLAN 400 - 10.53.77.0/24",,Aruba Network
524,VCA Monte Vista Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 50M/10M, Secondary AT&T DSL 6M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Pomeroy provided Comcast service - Customer# 274441 / Site ID H0620098886)
(Old - MPLS T1 1.5)",,VeloCloud / Pomeroy,Old - DHEC.971439 ATI,Old - 86HCGS720337PT,Old - 12.113.244.22,Fa0/1,10.53.78.1,,
525,VCA Benicia Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 50M/10M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.53.80.1,,
526,VCA Crestwood Animal Hospital,Configure/VeloCloud SD-WAN w/4G Backup (Mediacom 100M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.82.1,,LEC did not provide
527,VCA Wilshire Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Spectrum 300M/20M, Secondary GTT DSL 3M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Old - Pomeroy Site ID H0620092164)",,Velocloud,,,,,"10.53.84.1
Voice VLAN 400 - 10.53.85.0/24",,"Voice VLAN 400 - 10.53.85.0/24
 1 TELCO WATER HEATER CLOSET IN HALLWAY SLOT 1 OF 4"
528,VCA Venice Boulevard Animal Hospital (Was VCA Petville),"Configure/VeloCloud SD-WAN w/4G Backup (Spectrum 400M/20M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Old - Pomeroy Site ID H0620092165)",,Velocloud,,,,,"10.53.86.1
Voice VLAN 400 - 10.53.87.0/24",,"Aruba Switches
AT&T Ribbon UC - POC"
529,VCA Arroyo Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Cox 50M/10M, Secondary AT&T DSL 6M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.88.1
Voice VLAN 400 - 10.53.89.0/24",,"NIU 1X1, JACK #1 ON MOUNT 
1ST FLOOR OUTSIDE CLOSET MOUNT 1 SLOT 2"
531,VCA Rancho Mirage Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (AT&T ADI 2xT1) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - MPLS T1)",,Velocloud,Old - DHEC.941569.ATI,Old - 81HCGS863691GTEW,Old - 12.92.243.190,,10.53.92.1,,
534,VCA College Park - Ana Brook Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Spectrum 400M/20M, Secondary 2PiFi 5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620101467)",,VeloCloud / Pomeroy,,,,,10.53.98.1,,
537,VCA Southeast Portland Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 150M/20M, Secondary CenturyLink DSL 100M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.104.1
Voice VLAN 400 - 10.53.105.0/24",,"Aruba Network
Voice VLAN 400 - 10.53.105.0/24"
539,"VCA Westmoreland Animal Hospital
(New Building - 12/2014)","Configure/VeloCloud SD-WAN w/4G Backup (Comcast 50M/10M, Secondary CenturyLink 1.5M/896K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.108.1
Voice VLAN 400 - 10.53.109.0/24
(NAT IP 10.3.223.1)",,1ST FL TELCO MOUNT 1 SLOT 2
540,VCA Woodstock Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 150M/20M, Secondary GTT DSL 1.5M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.110.1
Voice VLAN 400 - 10.53.111.0/24",,NEC SIP
541,VCA All Critters Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (AT&T ADI 20M, Secondary 2PiFi 6M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620088994)",,Velocloud / Pomeroy,,,,,"10.53.112.1
Voice VLAN 400 10.53.113.0/24",,Aruba Network
542,VCA Lynnwood Veterinary Center,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620088995)",,Velocloud / Pomeroy,,,,,"10.53.114.1
Voice VLAN 400: 10.53.115.0/24",,
544,VCA Pacific Avenue South Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 75M/15M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy Call 866-364-4357 Customer# 274441 / Site ID H0620088996)",,Velocloud / Pomeroy,,,,,"10.53.118.1
Voice VLAN 400 10.53.119.0/24",,"Aruba Network
Direct VC/VPN connection with AU545"
545,VCA Pacific Avenue Animal Hospital,"Configure/VeloCloud SD-WAN w/4G Backup (Comcast 100M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620090090)",,Velocloud / Pomeroy,,,,,"10.53.120.1
Voice VLAN 400: 10.53.121.0/24",,"Aruba Network
Direct VC/VPN connection with AU544"
546,VCA East Mill Plain Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 100M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy support Call 866-364-4357 Customer# 274441 / Site ID H0620089177)",,Velocloud / Pomeroy,,,,,10.53.122.1,,"1ST FLR, POWER RM,DUAL MOUNT #1, LOT #1"
547,VCA Peone Pines Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.124.1,,
548,VCA North Division Animal Medical Center,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.126.1
Voice VLAN 400: 10.53.127.0/24",,2ND FL TELCO RM. SHELF #1 /SLOT #1/4
549,VCA Vineyard Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Charter 60M/4M, Secondary Frontier DSL 15M/1.5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.128.1
Voice VLAN 400 - 10.53.129.0/24",,NEC SIP
550,"VCA Animal Medical Center - Richland, WA",Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.130.1
Voice VLAN 400 - 10.53.130.0/24",,"Aruba Network
Voice VLAN 400 - 10.53.130.0/24"
551,VCA Aspenwood Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 100M/20M, Secondary AT&T ADI 10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.132.1
Voice VLAN 400 - 10.53.133.0/24",,"Voice VLAN 400 - 10.53.133.0/24
EA OUTSIDE WALL/DUAL MT/SL 1 OF 2
OUTSIDE AT THE REAR OF THE BLDG CAB#2 P1/2"
553,VCA Fort Collins Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary GTT DSL 6M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.53.136.1,,4900 S COLLEGE AVE FORT COLLINS CO
555 Closed,VCA Rancho Animal Hospital - Closed,MPLS T1 1.5 - Closed,702-258-8929 ngfo vr 9/1/10,999,DHEC.840874 ATI,30HCGS580778CTRL,12.92.129.122,Fa0/1,10.53.140.1,172.16.138.193,
556 Closed,VCA Adobe Animal Hospital - Closed / Merged into AU832 Town & Country,MPLS T1 1.5 - Closed,505-341-9646 vsi vr 9/9/10,999,DHEC.877545.ATI,54HCGS026891MS,12.92.142.162,Fa0/1,10.53.142.1,172.16.139.1,
557 Closed,VCA Buckingham Animal Hospital - Closed,MPLS T1 1.5 - Closed,972-205-9547 vsi vr 11/01/10,999,DHEC.588143.ATI,12HCGS380722GTEC,12.113.65.154,Fa0/1,10.53.144.1,172.16.139.65,
558,VCA Metroplex Animal Hospital & Pet Lodge,"Configure/VeloCloud SD-WAN w/4G (Spectrum 400M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620088737)",,Velocloud,,,,,10.53.146.1,,1ST FLOOR MAIN TELCO ROOM SHELF 1 SLOT 1 OF 4
560,VCA Animal Care Hospital,"Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.150.1
Voice VLAN 400 - 10.53.151.0/24",,Voice VLAN 400 - 10.53.151.0/24
561,VCA DeSoto Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M, Secondary 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.152.1
Voice VLAN 400 - 10.53.153.0/24",,1ST FLR TEL EQ RM CAB 1 SLOT 2
562 - Closed / Merged into AU446 5/22/2017,VCA Lindley Animal Hospital - Closed / Merged into AU446  5/22/2017,"Closed - AVTS VPN w/4G (Time Warner 50M/5M) - Call DSR for Support 888-499-9973
(Old - MPLS T1 1.5)",214-553-0669 vsi vr 9/16/10,999,Old - DHEC.601268 ATI,Old - 14HCGS995275SW,Old - 12.113.213.70,Fa0/1,10.53.154.1,172.16.140.129,
563,VCA Fort Worth Animal Medical Center,"Configure/VeloCloud SD-WAN w/4G (Charter 100M/7M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620092367)",,Velocloud / Pomeroy,,,,,10.53.156.1,,MPOE OUTSIDE T-1 CAB POS 01 RJ48
566,VCA Kelliwood Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.162.1,,
567,VCA Mission Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Time Warner 100M/10M, Secondary AT&T DSL 25M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.164.1
Voice VLAN 400: 10.53.165.0/24",,
568,VCA Oak Hills Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M, Secondary AT&T 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.53.166.1,,
570,VCA Woodland Broken Arrow Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Cox 15M/3M, Secondary Windstream 25M/4M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.170.1
Voice VLAN 400 10.53.171.0/24",,Aruba Network
573,VCA Woodland East Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Cox 50M/10M, Secondary Winstream DSL 10M/1M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.176.1
Voice VLAN 400 - 10.53.177.0/24",,"Aruba Network
BASEMENT CAB 1 JACK 1"
574,VCA Woodland South Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Cox 15M/3M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.53.178.1,,1ST FLR TELCO RM MULTI 1 SLOT 1
575 Closed,VCA Cat Hospital of Tulsa - Closed,MPLS T1 1.5 - Closed,918-660-0977 vr 7/8/10 rna ngfo,999,DHEC.434135 ATI,98HCGS903856SW,12.85.240.218,Fe0/1,10.53.180.1,10.0.27.1,
576,"VCA Woodland Central Animal Hospital
(Hospital relocated 4/11/2019)","Configure/VeloCloud SD-WAN w/4G (Cox 100M/20M, Secondary AT&T DSL 45M/6M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.182.1
Voice VLAN 400 - 10.53.183.0/24
Security VLAN 600 - 10.3.99.32/27",,Aruba Network
577 Closed,VCA Columbia Animal Hospital - Closed 11/1/2017,"Closed - AVTS VPN w/4G (Comcast 50M/10M) - Call DSR for Support 888-499-9973
(Old - MPLS T1 1.5)",706-854-6636 vr 9/16/10,999,Old - DHEC.910026 ATI,Old - 42HCGS612443SB,Old - 12.92.195.234,Fa0/0,10.53.184.1,,
579,VCA Village Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.188.1,,
580,VCA University Veterinary Clinic,Configure/VeloCloud SD-WAN w/4G (Cox 50M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.190.1,,"MTR BLDG 10677 SHELF 1, SLOT 3"
581,VCA Animal Medical Center,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.192.1,,
585,VCA Old River Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary AT&T DSL  25M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.200.1
Voice VLAN 400 - 10.53.201.0/24",,"Aruba Network
Voice VLAN 400 - 10.53.201.0/24"
586,VCA Chancellor Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary AT&T ADI 10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.202.1
VLAN 400 10.53.203.0/24",,1ST FLR ELECTRICAL RM SH-1 SL-2 RJ48C NOT EXT
587,VCA Raleigh Hills Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.204.1,,1ST GGED
588 Closed,VCA Saddleback Animal Hospital - Closed,MPLS T1 1.5 - Closed,949-855-6477 vsi vr 9/24/10,999,DHEC.258279 ATI,13HCGS767918PT,12.117.64.202,Fa0/0,10.53.206.1,,
589,VCA Bayshore Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.208.1,,
590,VCA Beech Road Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Spectrum 200M/10M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.210.1
Voice VLAN 400 - 10.53.211.0/24",,Aruba Network
591,VCA Animal Medical Center,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.212.1
VLAN 400 10.53.213.0/24",,
593,VCA Cabrera Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.53.216.1,,1ST FL TELCO RM CAB 1X1
595,VCA Sacramento Veterinary Referral Center,"Configure/VeloCloud SD-WAN VC 540 w/4G (Comcast 150M/20M, Secondary AT&T 100M ADI) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.220.1
VLAN 400 - 10.56.54.0/24
VLAN 180 - 10.53.221.0/26
VLAN 181 - 10.53.221.64/27
VLAN 182 - 10.53.221.96/28
VLAN 183 - 10.53.221.112/28
VLAN 184 - 10.53.221.128/27",,"Redundant VC 540
 SHELF 2 SLOT 1 @ MPOE"
596,VCA Alderwood Companion Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - MPLS 2xT1 3M)",,Velocloud,Old - DHEC.376674.801.ATI DHEC.376674.802.ATI,"Old - 86HCGS529116GTEW
86HCGS988983FTNC",Old - 12.92.241.18,,10.53.222.1,,"1ST FL TELCO ELEC CLOSET SHELF 1 SLOT 1 
ELECTRICAL ROOM, WALL MOUNT, SHELF 1, SLOT 2"
597,VCA Covington Animal Hospital,Configure/VeloCloud SD-WAN w/4G (CenturyLink 20M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.224.1,,"OUTDOOR SNI WEST SIDE BLDG, DUAL MT #2, SIDE 1"
598,VCA Crown Hill Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.226.1,,"OUTDOOR SNI WEST SIDE BLDG, DUAL MT #2, SIDE 1"
599,VCA Five Corners Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.228.1
Voice VLAN 400 10.53.229.0/24",,Aruba Network
600,VCA Magnolia Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 250M/25M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620089118)",,Velocloud,,,,,10.53.230.1,,
601,VCA Kent Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - MPLS T1)",,Velocloud,Old - DHEC.762166.ATI,Old - 74HCGS496567PN,"10.2.3.75
Old - 12.113.121.194",,10.53.232.1,,
602 - Hospital Sold,VCA Veterinary Specialty Center of Seattle - Hospital Sold 2018 / Services cancelled 2/27/2019,"Services Cancelled 2/27/2019
Pomeroy VPN w/4G Backup (2PiFi Fixed Wireless 50M/10M), For support Call 866-364-4357 Customer# 274441 / Site ID H0620088842
ePlus provides WAN support, call 1-866-758-7662 or email msc@eplus.com, state requesting support for WAN outage at AU#
(Old - MPLS 3xT1 4.5M - AT&T MPLS Support - 888-613-6330)",,999,Old - DHEC.691959.801.ATI & DHEC.691959.802.ATI &  DHEC.691959.803.ATI,"Old - 86HCGS529016GTEW
, 86HCGS557852 FTNC
86HCGS529113GTEW",Old - 12.117.114.174,Fa0/1,"Vlan 1 : H0602-DATA   10.53.234.0/24  GW : 10.53.234.1
Vlan 180 : H0602-Mgmt  10.53.235.0/26  GW : 10.53.235.1
Vlan 181 : H0602-iSCSI  NO IP 
Vlan 182: H0602-NFS  10.53.235.96/28  GW : 10.53.235.97
Vlan 183: H0602-vMotion   10.53.235.112/28 GW : 10.53.235.113
Vlan 184: H0602-Server  10.53.235.128/27 GW : 10.53.235.129",10.0.6.1,"VERIZON SHELF ONE...SLOT 2..JACK 2=RJ48C..TELCO TE
 1ST FL TELCO RM RJ48C SHELF #1 POS #6"
603,VCA West Seattle Veterinary Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.53.236.1,,
604 Closed,Closed/Sold - VCA Alpine Animal Hospital - Hospital Sold - VCA Managed until April 2018,"Closed - Pomeroy VPN w/4G Backup (2PiFi 6M), For support Call 866-364-4357 Customer# 274441 / Site ID H0620098741
(Old - MPLS T1)",,999,Old - DHEC.179009.ATI,Old - 74HCGS493832PN,Old - 12.112.64.234,Fa0/1,10.53.238.1,,1ST FLOOR TELCO CLOSET   SHELF 1 SLOT 1/2
605,VCA Bellevue Veterinary Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.240.1
Voice VLAN 400 - 10.53.241.0/24",,Voice VLAN 400 - 10.53.241.0/24
607,VCA Redmond Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (2PiFi 5M, Secondary AT&T ADI 2xT1) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620100187)",,Velocloud / Pomeroy,DHEC.971023.801 DHEC.971023.802,,,,"10.53.244.1
Voice VLAN 400: 10.53.245.0/24",,1ST FL TELCO CLOSET SHELF 1 SLOT 1 OF 4
608,VCA Rose Hill Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.246.1
Voice VLAN 400 10.53.247.0/24",,Aruba Network
609,VCA Snohomish Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.53.248.1
Voice VLAN 400: 10.53.249.0/24",,
610,VCA Sno-Wood Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.53.250.1,,OUTSIDE TERM SHELF 1 SLOT 2 OF 2
611,VCA Central Kitsap Animal Hospital (New Hospital 4/2013),"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.53.252.1
Voice VLAN 400: 10.53.253.0/24",,"MAIN FLR TELCO ROOM, DUAL MOUNT #2, POSITION 1
NE CORNER TELCO ELEC RM TELCO BACKBOARD DUAL MNT #2 POS 2                                              
(old - FIRST FLR MAIN TELCO ROOM MNT 1 SLOT 1 OF 2 )"
612,VCA Olympic Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Wave 30M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy Customer# 274441 / Site ID H0620089119)",,VeloCloud / Pomeroy,,,,,10.53.254.1,,
613,VCA Parkway Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.54.0.1,,
614,VCA Tanglewilde Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 16M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620089120)",,VeloCloud / Pomeroy,,,,,10.54.2.1,,
615,VCA Ben White Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M, Secondary AT&T DSL 25M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.54.4.1
Voice VLAN 400: 10.54.5.0/24",,
616,VCA Animal Emergency Hospital Southeast,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary AT&T DSL 3M/512K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.54.6.1
Voice VLAN 400 - 10.54.7.0/24",,"NEC SIP
Voice VLAN 400 - 10.54.7.0/24
1ST FL, TELCO CLOSET, DM#1, SL#1"
617,VCA Animal Emergency Hospital Southeast Calder Road,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.54.8.1
Voice VLAN 400 10.54.9.0/24",,Aruba Network
