"HOSPITAL
NUMBER",OPERATING NAME,SHORT NAME,ADDRESS,CITY,"ST/
PROV","POSTAL
CODE",COUNTRY,PHONE,FAX,BACKLINE,HM,MD,REG,"REGION
GROUP",COMPANY
390,Animal General of East Norwich,East Norwich,6320 Route 25A,East Norwich,NY,11732,USA,1-516-624-7500,1-516-624-7516,,Ann Mucera,Ellen Leonhardt,NE05,NE,US Hospitals
393,VCA Aurora Animal Hospital,Aurora,2600 West Galena Blvd.,Aurora,IL,60506,USA,1-630-301-6100,1-630-896-8594,1-630-896-8542,Audrey Bilmar,Terry Medinger,CS04,CE,US Hospitals
394,VCA Worth Animal Hospital,Worth,7727 West 111th Street,Palos Hills,IL,60465,USA,1-708-974-3070,1-708-974-1094,1-708-974-3430,Cheryl Mcknight,Cory Loxtercamp,C04,CE,US Hospitals
395,VCA La Mirada Animal Hospital,La Mirada,13914 East Rosecrans Avenue,Santa Fe Springs,CA,90670,USA,1-562-921-3539,1-562-921-9519,1-562-921-3140,Valerie Burstein,,SC06,SC,US Hospitals
396,VCA Triangle Tower Animal Hospital,Triangle Tower,1300 Corporation Parkway,Raleigh,NC,27610,USA,1-919-231-8030,1-919-231-9410,1-919-231-0944,Pam Cuda,Richard Ghiloni,SE01,SE,US Hospitals
398,VCA MacArthur Animal Hospital,MacArthur,4832 MacArthur Blvd. N.W.,Washington,DC,20007,USA,1-202-337-0120,1-202-965-3438,,Nunet Amen-Ra,Jessica Frisch,MA03,MA,US Hospitals
400,VCA Bedford Meadows Animal Hospital,Bedford Meadows,2209 Harwood Road,Bedford,TX,76021,USA,1-817-571-4088,1-817-283-9491,1-817-571-5970,Kimberly Herms,Jason Risley,SW01,SW,US Hospitals
401,VCA Palmetto Animal Hospital,Palmetto,4808 US-501,Myrtle Beach,SC,29579,USA,1-843-903-1900,1-843-903-1901,,Tina Holt,Laurel Berger-Bishop,SE01,SE,US Hospitals
402,County Animal Clinic,County,1574 Central Park Avenue,Yonkers,NY,10710,USA,1-914-779-5000,1-914-779-7229,1-914-779-1986,Elissa Nanna,Angelo Maggiolo,NE06,NE,US Hospitals
406,VCA Becker Animal Hospital,Becker,1901 27th Avenue South,Homewood,AL,35209,USA,1-205-871-2371,1-205-879-0958,1-205-871-2374,Kelly Knowles,Cathy Rice,SE05,SE,US Hospitals
409,Blue Point-Bayport Animal Hospital,Blue Point-Bayport,765 Montauk Hwy.,Bayport,NY,11705,USA,1-631-472-1101,1-631-472-6194,1-631-472-1102,Holly Gibbons,Melanie Ramsden,NE05,NE,US Hospitals
410,VCA New London Animal Hospital,New London,122 Cross Road,Waterford,CT,06385,USA,1-860-442-0611,1-860-444-2034,1-860-444-6434,Heidi Van Flatern,,NE04,NE,US Hospitals
412,VCA Airline Animal Hospital,Airline,5105 Airline Drive,Metairie,LA,70001,USA,1-504-888-0400,1-504-888-9121,,Lauren Mastrogiovanni,Connie Mcmillan,MSW03,MSW,US Hospitals
413,Glen Animal Hospital,Glen,209 Glen Cove Avenue,Sea Cliff,NY,11579,USA,1-516-671-2800,1-516-671-2945,1-516-671-4357,Kyle Farrell,Ji You Park,NE05,NE,US Hospitals
414,VCA Dover Animal Hospital,Dover,1151 South Governors Avenue,Dover,DE,19904,USA,1-302-674-1515,1-302-674-3099,,Tammy Morris,Bernard Brown,MA01,MA,US Hospitals
416,Shop City Animal Hospital,Shop City,105 Shop City Plaza,Syracuse,NY,13206,USA,1-315-433-1155,1-315-433-1526,1-315-431-4332,Isela Cook,Heather Lindsey,NE09,NE,US Hospitals
417,VCA Lake Jackson Animal Hospital,Lake Jackson,210 That Way,Lake Jackson,TX,77566,USA,1-979-297-3044,1-979-297-1326,,Crystal Nunn,Jennifer Kyle,MSW03,MSW,US Hospitals
418,Rome Animal Hospital,Rome,6161 Lamphear Road,Rome,NY,13440,USA,1-315-337-1470,1-315-337-1525,,Kim Grant,Heather Wiedrick,NE09,NE,US Hospitals
419,Queen Village Animal Hospital,Queen Village,46 Mexico Street,Camden,NY,13316,USA,1-315-245-3001,1-315-245-3436,,Kim Grant,,NE09,NE,US Hospitals
422,VCA Hillcrest Animal Hospital,Hillcrest Animal Ctr,246 West Washington Street,San Diego,CA,92103,USA,1-619-299-7387,1-619-299-7396,1-619-299-7391,Dawn Primus,Craig Kinshella,SW08,SW,US Hospitals
423,VCA Main Street Animal Hospital,Main Street,2773 Main Street,San Diego,CA,92113,USA,1-619-232-7401,1-619-232-7034,1-619-232-1288,Daniel Hernandez,Robert Tugend,SW08,SW,US Hospitals
425,VCA Angel Animal Hospital,Angel,3537 30th Street,San Diego,CA,92104,USA,1-619-291-0042,1-619-291-0239,1-619-291-0043,Raquel Edwards,Geoffrey Ball,SW08,SW,US Hospitals
426,VCA Kirkwood Animal Hospital,Kirkwood,1501 Kirkwood Hwy,Newark,DE,19711,USA,1-302-737-1098,1-302-709-3510,1-302-737-4483,Linda Simione,Kim Herrman,MA01,MA,US Hospitals
427,VCA Southeast Area Animal Hospital,Southeast Area,9801 East Iliff Avenue,Denver,CO,80231,USA,1-303-751-4954,1-303-751-4955,,Cassandra Mahlum,Adolfo Games,MSW01,MSW,US Hospitals
428,VCA Grossmont Animal Hospital,Grossmont,"8274 Parkway Drive, #106",La Mesa,CA,91942,USA,1-619-697-0082,1-619-697-7277,,Lisa Fleming,Katharine Allen,SW08,SW,US Hospitals
429,VCA Battle Ground Animal Hospital,Battle Ground,3314 W Main St,Battle Ground,WA,98604,USA,1-360-687-7151,1-360-687-4297,,Laura Cole,,NW06,NWH,US Hospitals
430,VCA Central Animal Hospital,Central,281 North Central Avenue,Upland,CA,91786,USA,1-909-981-2855,1-909-985-9398,,David Liss,Richard Johnson,SC05,SC,US Hospitals
431,VCA Cedar View Animal Hospital,Cedar View,7545 147th Street,Apple Valley,MN,55124,USA,1-952-432-4928,1-952-891-5933,,Sharon Eull,,C03,CE,US Hospitals
433,VCA Associates in Pet Care Animal Hospital,Associates,918 West Sunset Drive,Waukesha,WI,53189,USA,1-262-547-0871,1-262-547-0924,1-262-542-8257,Rabia Malik,,C03,CE,US Hospitals
434,VCA Delaware Valley Animal Hospital,Delaware Valley,183B Bristol Oxford Valley Road,Langhorne,PA,19047,USA,1-215-946-1111,1-215-946-7757,,Marilyn Katz,Christopher Phelan,MA02,MA,US Hospitals
437,VCA Heritage Animal Hospital,Heritage,"2101 N. Dunlap, PO Box 756",Savoy,IL,61874,USA,1-217-356-2200,1-217-356-6272,1-217-356-2825,Sue Crozier,Duane Dust,C04,CE,US Hospitals
439,Toms River Animal Hospital,Toms River,769 Route 37 West,Toms River,NJ,08755,USA,1-732-349-4599,1-732-505-0362,1-732-349-4294,Dawn Allport,Michele Reimer,NE07,NE,US Hospitals
440,VCA Feist Animal Hospital,Feist,1430 Marshall Avenue,St. Paul,MN,55104,USA,1-651-646-7257,1-651-646-2450,1-651-646-7259,Jaime Born,,C03,CE,US Hospitals
441,VCA All Pets Animal Hospital Boulder,All Pets/Boulder,5290 Manhattan Circle,Boulder,CO,80303,USA,1-303-499-5335,1-303-499-5362,1-303-499-5386,Melisa Tavernetti,,MSW01,MSW,US Hospitals
442,VCA All Pets Animal Hospital Lafayette,All Pets/Lafayette,805 South Public Road,Lafayette,CO,80026,USA,1-303-665-4230,1-303-665-4239,,Melisa Tavernetti,Lauren Geiger,MSW01,MSW,US Hospitals
444,VCA Animal Medical Center of Omaha,Animal Medical/NE,2323 South 64th Avenue,Omaha,NE,68106,USA,1-402-558-1522,1-402-551-3017,1-402-551-3017,Todd Porter,Sharon Mix,SW07,SW,US Hospitals
446,VCA Pet Doctor Animal Hospital,Pet Doctor,1421 East Spring Valley Road,Richardson,TX,75081-5348,USA,1-972-699-9999,1-972-699-0095,1-972-699-0094,Tricia Bracksieck,Cleveland Manley,SW01,SW,US Hospitals
448,VCA Companion Care Animal Hospital,Companion Care,1501 North Sixth Street,Wausau,WI,54403,USA,1-715-848-5326,1-715-842-8831,1-715-842-9412,Amanda Heineck,,C03,CE,US Hospitals
450,VCA Tanglewood Animal Hospital,Tanglewood,9125 Manchaca Road,Austin,TX,78748,USA,1-512-280-0878,1-512-280-8204,1-512-280-0889,Kelli Copeland,Ashlie Abbott,MSW04,MSW,US Hospitals
452,VCA El Mirage Animal Hospital,El Mirage,12850 West Elm Street,Surprise,AZ,85378,USA,1-623-583-9335,1-623-583-8646,1-623-583-9860,Brenda Bowerman,Robert Waltman,SW02,SW,US Hospitals
454,VCA Preston Park Animal Hospital,Preston Park,18770 Preston Road,Dallas,TX,75252,USA,1-972-985-0081,1-972-867-6233,1-972-985-1817,Bridgette Garcia,Christy Soileau,SW01,SW,US Hospitals
456,VCA Alaska Pet Care Animal Hospital,Alaska Pet,3900 Lake Otis Parkway,Anchorage,AK,99508,USA,1-907-562-7387,1-907-562-2627,1-907-562-7318,Suzette Miller,Amanda Seymour,NW05,NWH,US Hospitals
458,VCA Elliot Park Animal Hospital,Elliot Park,"1700 East Elliot Road, Suite 19",Tempe,AZ,85284,USA,1-480-838-8700,1-480-838-8717,1-480-838-8029,Jonathan Estrada,Mark Loeschen,SW02,SW,US Hospitals
460,VCA Mission San Jose Animal Hospital,Mission San Jose,1500 Washington Blvd.,Fremont,CA,94539,USA,1-510-651-0100,1-510-651-6519,,Erika Riley,,NC03,NC,US Hospitals
461,VCA White Lake Animal Hospital,White Lake,7404 East Highland Road,White Lake,MI,48383,USA,1-248-887-4128,1-248-887-8501,,Shelley Thurston,Sarah Beard,C01,CE,US Hospitals
463,VCA Silver Lake Animal Hospital,Silver Lake,10726 19th Avenue S.E.,Everett,WA,98208,USA,1-425-337-1500,1-425-338-5415,1-425-337-1517,Lisa Tarolli,Masami Tanaka,NW01,NWH,US Hospitals
465,VCA Misener-Holley Animal Hospital,Misener-Holley,1545 Devon Avenue,Chicago,IL,60660,USA,1-773-743-3322,1-773-274-5264,1-773-743-3324,Sheila Diamond,Michelle Funk,C04,CE,US Hospitals
468,VCA University Animal Hospital,University/HI,2728 Woodlawn Drive,Honolulu,HI,96822,USA,1-808-988-2111,1-808-988-7657,1-808-988-5841,Leslie Iboshi,,H01,NWH,US Hospitals
469,VCA West Shore Animal Hospital,West Shore,719 Limekiln Road,New Cumberland,PA,17070,USA,1-717-774-0685,1-717-774-0752,1-717-774-3287,Jennifer Soroka,Shawna Huston,MA03,MA,US Hospitals
470,VCA Ocean Beach Animal Hospital,Ocean Beach,4011 Ocean Beach Highway,Longview,WA,98632,USA,1-360-425-0850,1-360-425-6171,,Patti Donaldson,Kelly Sullivan,NW06,NWH,US Hospitals
471,Vetco Animal Hospital,Vetco,1565 Route 206,Tabernacle,NJ,08088,USA,1-609-268-9470,1-609-268-7026,1-609-268-9784,Victoria Lattig,Melissa Case-Miller,NE07,NE,US Hospitals
472,VCA Brown Animal Hospital,Brown,8 Calkins Court,South Burlington,VT,05403,USA,1-802-862-6471,1-802-864-1950,1-802-862-3224,Heidi Luneau,Marina Tal,NE02,NE,US Hospitals
473,VCA West Bernardo Animal Hospital,West Bernardo,"11605 Duenda Road, Suite D",San Diego,CA,92127,USA,1-858-485-7570,1-858-485-5781,,Cindy Sutalo,David Robbins,SW08,SW,US Hospitals
474,VCA Arrighetti Animal Hospital,Arrighetti,1882 Plaza del Sur Drive,Santa Fe,NM,87505,USA,1-505-471-2888,1-505-438-3991,1-505-471-0864,Angela Bucher,,SW02,SW,US Hospitals
475,VCA Mountain View Animal Hospital,Mountain View,9812 North 7th Street,Phoenix,AZ,85020,USA,1-602-861-1355,1-602-943-5487,,Kimberley Anderson,,SW02,SW,US Hospitals
476,VCA Promenade Animal Hospital,Promenade,4678 N. University Drive,Lauderhill,FL,33351,USA,1-954-748-9600,1-954-749-7204,,Mark Thomas,John Willie,SE04,SE,US Hospitals
477,VCA Lafayette Animal Hospital,Lafayette,3532 South Street,Lafayette,IN,47905,USA,1-765-447-0521,1-765-447-7771,,Dawn Berry,Ruth Marchant Forde,C02,CE,US Hospitals
480,VCA Veterinary Specialists of Northern Colorado,Vet Specialists,201 West 67th Court,Loveland,CO,80538,USA,1-970-278-0668,1-970-663-6273,,Karen Bailey,Michael Green,MSWS01,MSW,US Hospitals
484,VCA North Coast Animal Hospital,North Coast,414 Encinitas Boulevard,Encinitas,CA,92024,USA,1-760-632-1072,1-760-632-0486,,Skye Engels,Christopher Tsai,SW08,SW,US Hospitals
485,VCA Apex Animal Hospital,Apex,1600 E. Williams Street,Apex,NC,27539,USA,1-919-362-8878,1-919-362-6740,,Liz Maxwell,Matthew Peddy,SE01,SE,US Hospitals
486,VCA Broad Street Animal Hospital,Broad Street,2200 North Grassland Drive,Fuquay-Varina,NC,27526,USA,1-919-557-3206,1-919-567-3100,,Ashley Silkowski,Christy Davis,SE01,SE,US Hospitals
487,VCA Cornerstone Animal Hospital,Cornerstone,2111 High House Road,Cary,NC,27519,USA,1-919-319-1555,1-919-462-0962,,Ashley Silkowski,Julie De Silvia,SE01,SE,US Hospitals
488,VCA Sequoia Valley Animal Hospital,Sequoia Valley,604 Elsa Drive,Santa Rosa,CA,95407,USA,1-707-545-7387,1-707-545-2654,,Cassidy King,Christine Dotti,NC02,NC,US Hospitals
489,VCA Durant Road Animal Hospital,Durant Road,10220 Durant Road,Raleigh,NC,27614,USA,1-919-847-5533,1-919-847-9363,,Meri Riggs,Daniel Allen,SE01,SE,US Hospitals
491,VCA Bal-Coeur Animal Hospital,Bal-Coeur,550 North New Ballas Road,Creve Coeur,MO,63141,USA,1-314-432-1150,1-314-432-3035,,Renee Diamond,Kimberly Davis,C06,CE,US Hospitals
492,VCA Douglas County Animal Hospital,Douglas County,531 Jerry Street,Castle Rock,CO,80104,USA,1-303-688-2480,1-303-688-3975,,Terry Shand,Lisa Sanborn,MSWS01,MSW,US Hospitals
493,VCA All About Pets Animal Hospital,All About Pets/MN,5669 Duluth Street,Golden Valley,MN,55422,USA,1-763-546-4452,1-763-546-0513,,Julie Bohlin,Luis Sepulveda,C03,CE,US Hospitals
497,VCA Castle Hills Companion Animal Hospital,Castle Hills,13141 N.W. Military Highway,San Antonio,TX,78231,USA,1-210-492-5519,1-210-408-0009,,Paula Mcfarland,Susan Schwab,MSW04,MSW,US Hospitals
500,VCA Health Associates Animal Hospital,Health Associates,11214 Iota Drive,San Antonio,TX,78217,USA,1-210-655-1373,1-210-655-3344,1-210-657-1884,Cindy Miller,Jennifer Johnson,MSW04,MSW,US Hospitals
502,VCA Los Altos Animal Hospital,Los Altos,"3080 Woodruff Avenue, Suite B",Long Beach,CA,90808,USA,1-562-421-3749,1-562-420-6407,,Tina Kyle,Kathleen Mcbride,SC06,SC,US Hospitals
504,VCA El Rancho Animal Hospital,El Rancho,"41670 Winchester Road, Suite B",Temecula,CA,92590,USA,1-951-296-3898,1-951-296-3899,,Faith Davis,Robert Siringo,SW08,SW,US Hospitals
505,VCA Lockwood Ridge Animal Hospital,Lockwood Ridge,3802 N. Lockwood Ridge Road,Sarasota,FL,34234,USA,1-941-359-3800,1-941-359-0307,1-941-359-3802,Lindsey Swank,Gordana Alimpic,SE07,SE,US Hospitals
506,VCA West Coast Specialty & Emergency Animal Hospital,West Coast,18300 Euclid Street,Fountain Valley,CA,92708,USA,1-714-241-9001,1-714-241-9020,,Bridget Monson,John Walters,SCS03,SC,US Hospitals
508,VCA Family and Oahu Veterinary Specialty Center,Family,98-1254 Kaahumanu Street,Pearl City,HI,96782,USA,1-808-484-9070,1-808-486-0268,1-808-484-4843,Matt Malta,Carrie White Mingle,HS01,NWH,US Hospitals
509,Animal Health Center,Animal Health/NY,1656 Route 9,Clifton Park,NY,12065,USA,1-518-371-3606,1-518-371-1338,,Tanyette Hobbs,Genevieve Morse-Ozols,NE09,NE,US Hospitals
511,VCA Animal Care Hospital,Animal Care/MN,1208 East 66th Street,Richfield,MN,55423,USA,1-612-866-1493,1-612-861-5332,1-612-866-7458,Kristen Beireis,,C03,CE,US Hospitals
515,VCA Greenhaven Pocket Animal Hospital,Greenhaven,1 Valine Court,Sacramento,CA,95831,USA,1-916-391-3677,1-916-391-0453,,Hedy Meyer,,NC04,NC,US Hospitals
516,VCA All Our Pets Animal Hospital,All Our Pets,1413 60th Street,Sacramento,CA,95819,USA,1-916-452-2685,1-916-452-4522,,Reanna Santos,Shawn Clemmer,NC05,NC,US Hospitals
517,VCA Westside Animal Hospital,Westside/Sacramento,1550 Jefferson Blvd.,West Sacramento,CA,95691,USA,1-916-371-8900,1-916-371-2709,,Rachel Cross,Laura Winemiller,NC04,NC,US Hospitals
518,VCA Highlands Animal Hospital,Highlands/CA,3451 Elkhorn Blvd.,North Highlands,CA,95660,USA,1-916-332-2845,1-916-332-3710,,Sheila Johnson,William Faust,NC05,NC,US Hospitals
519,Camp Bow Wow Fair Oaks,CBW Fair Oaks,8311 Greenback Lane,Fair Oaks,CA,95628,USA,1-916-726-3400,1-916-726-5048,,Joan Stone,,NC05,NC,US Hospitals
520,VCA Greenback Animal Hospital,Greenback,8311 Greenback Lane,Fair Oaks,CA,95628,USA,1-916-725-1541,1-916-725-4584,,Joan Stone,Catherine Loughner,NC05,NC,US Hospitals
521,VCA Elk Grove Animal Hospital,Elk Grove,8640 Elk Grove Blvd.,Elk Grove,CA,95624,USA,1-916-685-9589,1-916-685-4579,,Rachelle Williams,Rebecca Van Riper,NC05,NC,US Hospitals
522,VCA Sacramento Animal Medical Group,Sacramento,4990 Manzanita Ave.,Carmichael,CA,95608,USA,1-916-331-7430,1-916-331-1868,,Emily Tanner,Kaite Wickham,NC05,NC,US Hospitals
523,VCA Cottage Animal Hospital,Cottage,1590 Boulevard Way,Walnut Creek,CA,94595,USA,1-925-935-9080,1-925-935-2453,,Maya Donnelly,,NC02,NC,US Hospitals
524,VCA Monte Vista Animal Hospital,Monte Vista,1488 Washington Blvd.,Concord,CA,94521,USA,1-925-672-1100,1-925-672-4298,,Liz Davidson,,NC02,NC,US Hospitals
525,VCA Benicia Animal Hospital,Benicia,335 W. Military St.,Benicia,CA,94510,USA,1-707-745-4600,1-707-745-9451,,Richard Debnam,Ryan Machowski,NC02,NC,US Hospitals
526,VCA Crestwood Animal Hospital,Crestwood,1131 Inyokern Road,Ridgecrest,CA,93555,USA,1-760-446-7616,1-760-446-4341,1-760-446-7618,Valerie Watts,Cherie Decker,SC05,SC,US Hospitals
527,VCA Wilshire Animal Hospital,Wilshire,2421 Wilshire Blvd.,Santa Monica,CA,90403,USA,1-310-828-4587,1-310-453-1562,,Kristin Miller,Frank Lavac,SC06,SC,US Hospitals
528,VCA Venice Boulevard Animal Hospital,Venice Boulevard,12108 Venice Blvd.,Los Angeles,CA,90066,USA,1-310-313-9118,1-310-313-9115,,Dawn Mccoy,Kathryn Farrar,SC06,SC,US Hospitals
529,VCA Arroyo Animal Hospital,Arroyo,1 South Pointe Drive,Lake Forest,CA,92630,USA,1-949-770-1808,1-949-583-9326,,Cheryl Glass,Jamie Ota,SC05,SC,US Hospitals
531,VCA Rancho Mirage Animal Hospital,Rancho Mirage,71075 Highway 111,Rancho Mirage,CA,92270,USA,1-760-346-6103,1-760-340-0236,,Christina Guerrero,Robert Reed,SC05,SC,US Hospitals
534,VCA College Park - Ana Brook Animal Hospital,College Park - Ana Brook,5839 Ball Road,Cypress,CA,90630,USA,1-714-827-6861,1-714-827-0171,,Sarah Hall,,SC06,SC,US Hospitals
537,VCA Southeast Portland Animal Hospital,Southeast Portland,13830 SE Stark St.,Portland,OR,97233,USA,1-503-255-8139,1-503-257-2081,,Mari Coryell,Mary Bonnell,NW06,NWH,US Hospitals
539,VCA Westmoreland Animal Hospital,Westmoreland,3880 W 11th Ave,Eugene,OR,97402,USA,1-541-485-4595,1-541-684-3404,,Kari Henson,Helen Kennedy,NW04,NWH,US Hospitals
540,VCA Woodstock Animal Hospital,Woodstock,4835 SE Woodstock,Portland,OR,97206,USA,1-503-775-1519,1-503-777-0593,,Elisa Edgington,Amanda Tinsley,NW04,NWH,US Hospitals
541,VCA All Critters Animal Hospital,All Critters,2834 228th Avenue SE,Sammamish,WA,98075,USA,1-425-392-7387,1-425-392-6568,,Priscilla Prior,Emily Truong,NW01,NWH,US Hospitals
542,VCA Lynnwood Veterinary Center,Lynnwood,4426 168th Street SW,Lynnwood,WA,98037,USA,1-425-742-7387,1-425-787-1065,,Meghan Woolsey,Carolyn Morrill,NW01,NWH,US Hospitals
544,VCA Pacific Avenue South Animal Hospital,Pacific Avenue South,18715 Pacific Avenue,Spanaway,WA,98387,USA,1-253-847-6444,1-253-846-0617,,,,NW06,NWH,US Hospitals
545,VCA Pacific Avenue Animal Hospital,Pacific Avenue,10234 Pacific Ave.,Tacoma,WA,98444,USA,1-253-537-0241,1-253-535-3587,,Daniel Mclaughlin,Timothy Gintz,NW06,NWH,US Hospitals
546,VCA East Mill Plain Animal Hospital,East Mill Plain,416 NE 112th Avenue,Vancouver,WA,98684,USA,1-360-892-0032,1-360-892-5935,,Marie Montgomery,Alayson Phelps,NW06,NWH,US Hospitals
547,VCA Peone Pines Animal Hospital,Peone Pines,14717 Newport Highway,Mead,WA,99021,USA,1-509-466-7115,1-509-468-8044,,Floyd Rowe,Valerie Sinclair,NW06,NWH,US Hospitals
548,VCA North Division Animal Medical Center,North Division,8714 N. Division St.,Spokane,WA,99218,USA,1-509-467-5230,1-509-467-1103,,Tami Stokes,Bradley Peterson,NW06,NWH,US Hospitals
549,VCA Vineyard Animal Hospital,Vineyard,1021 W. 4th Ave.,Kennewick,WA,99336,USA,1-509-582-7211,1-509-586-3821,,Sheryl O'Leary,,NW06,NWH,US Hospitals
550,VCA Animal Medical Center,Animal Medical/WA,1530 Jadwin Avenue,Richland,WA,99354-2902,USA,1-509-943-5671,1-509-946-3311,,Sheryl O'Leary,Lynn Harbinson,NW06,NWH,US Hospitals
551,VCA Aspenwood Animal Hospital,Aspenwood,1290 S. Colorado Blvd.,Denver,CO,80246,USA,1-303-757-5646,1-303-758-8633,,Samantha Brown,Julie Kelly,MSW01,MSW,US Hospitals
553,VCA Fort Collins Animal Hospital,Fort Collins,"4900 S. College Avenue, Suite 120",Fort Collins,CO,80525,USA,1-970-204-4567,1-970-266-0629,,Chelsea Kupfner,Michelle Cook,MSW01,MSW,US Hospitals
558,VCA Metroplex Animal Hospital & Pet Lodge,Metroplex,700 West Airport Freeway,Irving,TX,75062,USA,1-972-438-7113,1-972-554-1894,,Allen Stredwick,Terry Clark,SW01,SW,US Hospitals
560,VCA Animal Care Hospital,Animal Care/TX,4040 W. Park Boulevard,Plano,TX,75093,USA,1-972-596-5252,1-972-596-0533,,Rachael Ast,Michelle Rodeghier,SW01,SW,US Hospitals
561,VCA DeSoto Animal Hospital,DeSoto,200 N. Hampton Road,DeSoto,TX,75115,USA,1-972-223-4840,1-972-223-9863,,Amy Vanderslice,George Tabone,SW01,SW,US Hospitals
563,VCA Fort Worth Animal Medical Center,Fort Worth,8331 W. Freeway,Fort Worth,TX,76116,USA,1-817-560-8387,1-817-244-3301,,Regan Cruze,Jennifer Norris,SW01,SW,US Hospitals
566,VCA Kelliwood Animal Hospital,Kelliwood,960 S. Fry Road,Katy,TX,77450,USA,1-281-492-2780,1-281-492-7784,,Kathleen Whittington,,MSW03,MSW,US Hospitals
567,VCA Mission Animal Hospital,Mission/TX,2822 Pleasanton Road,San Antonio,TX,78221,USA,1-210-923-7582,1-210-932-3232,,Eli Canales,William Harcrow,MSW04,MSW,US Hospitals
568,VCA Oak Hills Animal Hospital,Oak Hills,6614 Southpoint,San Antonio,TX,78229,USA,1-210-342-9518,1-210-342-7873,,Linda Gutierrez,Jena Benavente,MSW04,MSW,US Hospitals
570,VCA Woodland Broken Arrow Animal Hospital,Broken Arrow,2106 W. Detroit,Broken Arrow,OK,74012,USA,1-918-258-5579,1-918-258-5581,,Jessica Thomas,Odie Mckeaigg,SW07,SW,US Hospitals
573,VCA Woodland East Animal Hospital,Woodland East,9509 E. 61st  St.,Tulsa,OK,74133,USA,1-918-252-3595,1-918-252-9361,,Janine Mccrackin,Patrick Grogan,SW07,SW,US Hospitals
574,VCA Woodland South Animal Hospital,Woodland South,9340 S. Memorial,Tulsa,OK,74133,USA,1-918-524-5000,1-918-524-3775,,Kimberly Cousins,Caren Lawrence,SW07,SW,US Hospitals
576,VCA Woodland Central Animal Hospital,Woodland Central,4720 E. 51st St.,Tulsa,OK,74135,USA,1-918-496-2111,1-918-496-3445,,Christe Stratton,Sarah Stegman,SW07,SW,US Hospitals
579,VCA Village Animal Hospital,Village/FL,"1340 Palm Bay Rd., N.E.",Palm Bay,FL,32905,USA,1-321-725-9770,1-321-724-9604,,Lisa Patient,H Bauman,SE02,SE,US Hospitals
580,VCA University Veterinary Clinic,University/VA,10681 Braddock Road,Fairfax,VA,22032,USA,1-703-385-1054,1-703-691-1648,,Neha Taneja,Beecher Watson,MA04,MA,US Hospitals
581,VCA Animal Medical Center,Animal Medical/Marysville,1072 Cedar Avenue,Marysville,WA,98270,USA,1-360-659-4144,1-360-658-1963,,Jolene Mercier,Tiffany Brooks,NW01,NWH,US Hospitals
585,VCA Old River Animal Hospital,Old River,520 West Eleventh Street,Tracy,CA,95376,USA,1-209-835-5166,1-209-835-3573,,Sylvia Gama,,NC05,NC,US Hospitals
586,VCA Chancellor Animal Hospital,Chancellor,11101 Gordon Road,Fredericksburg,VA,22407,USA,1-540-786-2282,1-540-786-1892,1-540-548-4445,Anita Foster,,MA04,MA,US Hospitals
587,VCA Raleigh Hills Animal Hospital,Raleigh Hills,4905 SW 77th Avenue,Portland,OR,97225,USA,1-503-292-9227,1-503-292-8487,,Leandro Baiz,Ariel Grubb,NW04,NWH,US Hospitals
589,VCA Bayshore Animal Hospital,Bayshore,233 North Amphlett Boulevard,San Mateo,CA,94401,USA,1-650-342-7022,1-650-343-1277,1-650-342-2384,Josue Pereda,Jennifer Bolich,NC01,NC,US Hospitals
590,VCA Beech Road Animal Hospital,Beech Road,25885 West Six Mile Road,Redford,MI,48240,USA,1-313-538-0900,1-313-531-5188,1-313-538-0901,Sandra Vaillancourt,Jill Crisp,C01,CE,US Hospitals
591,VCA Animal Medical Center,Animal Medical/NH,1550 Woodbury Avenue,Portsmouth,NH,03801,USA,1-603-436-4922,1-603-427-2845,,Carly Caron,Jana Mazor-Thomas,NE02,NE,US Hospitals
593,VCA Cabrera Animal Hospital,Cabrera,6390 S.W. 8th Street,West Miami,FL,33144,USA,1-305-261-2374,1-305-261-9626,1-305-261-2880,Cristina Camargo-Sanchez,Mark Leichty,SE08,SE,US Hospitals
595,VCA Sacramento Veterinary Referral Center,Sacramento Vet Referral,9801 Old Winery Place,Sacramento,CA,95827,USA,1-916-362-3111,1-916-362-0190,,Heidi Thornton,Chris Wong,NCS02,NC,US Hospitals
596,VCA Alderwood Companion Animal Hospital,Alderwood,19511 24th Avenue West,Lynnwood,WA,98036,USA,1-425-775-7655,1-425-672-8096,,Sonya Ferguson,Jill James,NW01,NWH,US Hospitals
597,VCA Covington Animal Hospital,Covington,27045 174th Place SE,Covington,WA,98042,USA,1-253-631-8616,1-253-639-2683,,Paula Jones-Pace,Bradley Walls,NW06,NWH,US Hospitals
598,VCA Crown Hill Animal Hospital,Crown Hill,9069 Holman Road NW,Seattle,WA,98117,USA,1-206-782-6363,1-206-783-0056,,Stacy Falkenbury,Victoria Wang,NW05,NWH,US Hospitals
599,VCA Five Corners Animal Hospital,Five Corners,15707 1st Ave. South,Seattle,WA,98148,USA,1-206-243-2982,1-206-248-0264,,Michelle Staben,Rhiannon Harris,NW06,NWH,US Hospitals
600,VCA Magnolia Animal Hospital,Magnolia,2201 34th Ave West,Seattle,WA,98199,USA,1-206-285-0515,1-206-283-8598,,Jennifer Kim,Katharine Chan,NW01,NWH,US Hospitals
